,sentence,difficulty,flesch_reading_ease,polysyllable_count,coleman_liau_index,freqlemfilms2_mean,freqlemfilms2_median,freqlemfilms2_max,freqlemfilms2_min,freqlemfilms2_25%,freqlemfilms2_75%,freqlemlivres_mean,freqlemlivres_median,freqlemlivres_max,freqlemlivres_min,freqlemlivres_25%,freqlemlivres_75%,freqfilms2_mean,freqfilms2_median,freqfilms2_max,freqfilms2_min,freqfilms2_25%,freqfilms2_75%,nblettres_mean,nblettres_median,nblettres_max,nblettres_min,nblettres_25%,nblettres_75%,nbsyll_mean,nbsyll_median,nbsyll_max,nbsyll_min,nbsyll_25%,nbsyll_75%
0,"Les coûts kilométriques réels peuvent diverger sensiblement des valeurs moyennes en fonction du moyen de transport utilisé, du taux d'occupation ou du taux de remplissage, de l'infrastructure utilisée, de la topographie des lignes, du flux de trafic, etc.",C1,43.31,9,15.39,5083.383947368422,86.65,25220.86,0.04,13.93,5648.3775000000005,7794.342368421053,53.65,38928.92,0.27,4.545,8269.967499999999,4926.587894736842,41.96,25220.86,0.0,6.9975000000000005,5365.935,4.894736842105263,4.0,13.0,1.0,2.0,7.0,1.763157894736842,1.0,4.0,1.0,1.0,2.0
1,"Le bleu, c'est ma couleur préférée mais je n'aime pas le vert!",A1,99.14,1,4.57,6604.464166666666,1214.575,25983.2,8.21,46.2975,13652.76,5249.0841666666665,937.4000000000001,18310.95,4.73,111.625,9312.0475,6595.330000000001,1202.18,25983.2,8.21,21.009999999999998,13652.76,3.3333333333333335,2.5,8.0,1.0,2.0,4.0,1.25,1.0,3.0,1.0,1.0,1.0
2,Le test de niveau en français est sur le site Internet de l'école.,A1,90.77,1,5.03,9111.054615384613,2520.11,32236.5,5.61,50.7,13652.76,11074.153846153848,5320.47,38928.92,0.0,5.61,18310.95,8121.73923076923,2520.11,25220.86,5.61,34.87,13652.76,3.6153846153846154,3.0,8.0,1.0,2.0,4.0,1.3076923076923077,1.0,3.0,1.0,1.0,1.0
3,Est-ce que ton mari est aussi de Boston?,A1,95.84,0,2.86,11378.233333333334,4100.9,32236.5,0.44,1402.33,25220.86,8574.383333333333,2958.58,38928.92,0.47,310.47,15085.47,8443.025555555556,3330.88,25220.86,0.44,1402.33,19417.69,3.4444444444444446,3.0,6.0,2.0,3.0,4.0,1.3333333333333333,1.0,2.0,1.0,1.0,2.0
4,"Dans les écoles de commerce, dans les couloirs de places financières, il arrive aujourd'hui de croiser de jeunes adultes de 20 ou 25 ans qui prévoient d'ouvrir une maison d'hôtes ""dans une quinzaine d'années"".",B1,69.45,2,11.79,6372.454516129032,1252.42,25220.86,2.02,54.68,8314.115,9604.199354838707,723.04,38928.92,2.97,76.72,12125.134999999998,6309.803548387097,718.17,25220.86,0.54,19.655,8314.115,4.387096774193548,3.0,11.0,1.0,2.0,6.0,1.3548387096774193,1.0,3.0,1.0,1.0,2.0
5,voilà une autre histoire que j'ai beaucoup aimée.,A2,88.48,0,9.35,2028.3225000000002,756.2650000000001,7907.85,64.31,559.48,2266.5275,1965.33125,628.515,9587.97,2.91,351.9275,1481.5925,1703.9925,647.24,7907.85,12.66,237.5675,1377.5500000000002,4.75,5.0,8.0,1.0,3.0,5.75,1.5,1.5,2.0,1.0,1.0,2.0
6,Les médecins disent souvent qu'on doit boire un verre de vin rouge après les repas.,A2,96.1,1,8.05,4371.574666666666,339.05,25220.86,22.07,119.235,7333.264999999999,6007.018,286.96,38928.92,1.55,170.26999999999998,9191.59,3785.1559999999995,142.15,25220.86,22.07,80.31,4687.61,4.333333333333333,5.0,8.0,2.0,3.0,5.0,1.2666666666666666,1.0,2.0,1.0,1.0,1.5
7,"Il est particulièrement observé chez les personnes ayant un besoin de popularité développé, qui considèrent dès lors le moindre signal du smartphone comme un possible indicateur de leur degré de popularité.",B2,35.7,6,15.85,6709.317333333333,533.99,32236.5,1.77,40.3725,12087.62,8046.839666666667,351.28499999999997,38928.92,1.82,74.56,13550.68,5647.1973333333335,235.71999999999997,25220.86,0.98,16.505,11245.810000000001,5.466666666666667,4.5,16.0,2.0,2.25,7.75,1.9666666666666666,1.0,6.0,1.0,1.0,2.0
8,J'ai retrouvé le plaisir de manger un oeuf à la coque,A2,92.8,1,3.69,7196.017272727273,467.82,25220.86,5.0,125.34,12921.58,10420.899090909092,416.22,38928.92,2.91,141.995,18760.0,7146.9063636363635,207.63,25220.86,4.6,57.345,12921.58,3.6363636363636362,2.0,8.0,1.0,2.0,5.5,1.3636363636363635,1.0,3.0,1.0,1.0,1.5
9,"Nous allons bien, nous habitons dans une petite maison ancienne avec un très beau jardin",B1,81.38,1,10.37,3756.382666666667,3704.89,12087.62,60.21,638.8050000000001,4772.12,3524.8159999999993,2535.14,13550.68,112.5,597.705,3934.125,3032.6560000000004,1589.92,12087.62,1.72,318.44500000000005,4715.355,4.866666666666666,4.0,8.0,2.0,4.0,6.0,1.5333333333333334,1.0,3.0,1.0,1.0,2.0
10,Bonjour et bonne année.,A1,92.54,0,4.35,3837.585,1062.505,12909.08,316.25,506.99,4393.1,5524.12,582.6,20879.73,51.55,294.5425,5812.1775,3546.8824999999997,574.405,12909.08,129.64,459.82,3661.4674999999997,4.75,5.0,7.0,2.0,4.25,5.5,1.5,1.5,2.0,1.0,1.0,2.0
11,La presse s'est abondamment fait l'écho des effets secondaires ressentis par les soignants de moins de 65 ans.,B2,78.33,3,11.42,5437.795294117647,478.75,25220.86,0.17,45.77,8720.38,8092.6752941176455,685.81,38928.92,0.07,14.53,10624.93,5061.785294117646,478.75,25220.86,0.01,17.58,6055.71,4.764705882352941,3.0,11.0,1.0,2.0,6.0,1.5294117647058822,1.0,4.0,1.0,1.0,2.0
12,"Pour que le rocher s'ouvre, il faut le toucher avec un brin d'herbe.",B1,105.49,0,5.03,5349.213846153846,3704.89,13652.76,5.38,54.68,12087.62,6233.556923076923,3315.95,18310.95,2.97,39.53,13550.68,5246.633846153845,3330.88,13652.76,4.95,49.43,12087.62,3.230769230769231,3.0,7.0,1.0,2.0,4.0,1.2307692307692308,1.0,2.0,1.0,1.0,1.0
