id,difficulty,flesch_reading_ease,polysyllable_count,coleman_liau_index,freqlemfilms2_mean,freqlemfilms2_median,freqlemfilms2_max,freqlemfilms2_min,freqlemfilms2_25%,freqlemfilms2_75%,freqlemlivres_mean,freqlemlivres_median,freqlemlivres_max,freqlemlivres_min,freqlemlivres_25%,freqlemlivres_75%,freqfilms2_mean,freqfilms2_median,freqfilms2_max,freqfilms2_min,freqfilms2_25%,freqfilms2_75%,nblettres_mean,nblettres_median,nblettres_max,nblettres_min,nblettres_25%,nblettres_75%,nbsyll_mean,nbsyll_median,nbsyll_max,nbsyll_min,nbsyll_25%,nbsyll_75%
0,C1,43.31,9,15.39,5083.383947368422,86.65,25220.86,0.04,13.93,5648.3775000000005,7794.342368421053,53.65,38928.92,0.27,4.545,8269.967499999999,4926.587894736842,41.96,25220.86,0.0,6.9975000000000005,5365.935,4.894736842105263,4.0,13.0,1.0,2.0,7.0,1.763157894736842,1.0,4.0,1.0,1.0,2.0
1,A1,99.14,1,4.57,6604.464166666666,1214.575,25983.2,8.21,46.2975,13652.76,5249.0841666666665,937.4000000000001,18310.95,4.73,111.625,9312.0475,6595.330000000001,1202.18,25983.2,8.21,21.009999999999998,13652.76,3.3333333333333335,2.5,8.0,1.0,2.0,4.0,1.25,1.0,3.0,1.0,1.0,1.0
2,A1,90.77,1,5.03,9111.054615384613,2520.11,32236.5,5.61,50.7,13652.76,11074.153846153848,5320.47,38928.92,0.0,5.61,18310.95,8121.73923076923,2520.11,25220.86,5.61,34.87,13652.76,3.6153846153846154,3.0,8.0,1.0,2.0,4.0,1.3076923076923077,1.0,3.0,1.0,1.0,1.0
3,A1,95.84,0,2.86,11378.233333333334,4100.9,32236.5,0.44,1402.33,25220.86,8574.383333333333,2958.58,38928.92,0.47,310.47,15085.47,8443.025555555556,3330.88,25220.86,0.44,1402.33,19417.69,3.4444444444444446,3.0,6.0,2.0,3.0,4.0,1.3333333333333333,1.0,2.0,1.0,1.0,2.0
4,B1,69.45,2,11.79,6372.454516129032,1252.42,25220.86,2.02,54.68,8314.115,9604.199354838707,723.04,38928.92,2.97,76.72,12125.134999999998,6309.803548387097,718.17,25220.86,0.54,19.655,8314.115,4.387096774193548,3.0,11.0,1.0,2.0,6.0,1.3548387096774193,1.0,3.0,1.0,1.0,2.0
5,A2,88.48,0,9.35,2028.3225000000002,756.2650000000001,7907.85,64.31,559.48,2266.5275,1965.33125,628.515,9587.97,2.91,351.9275,1481.5925,1703.9925,647.24,7907.85,12.66,237.5675,1377.5500000000002,4.75,5.0,8.0,1.0,3.0,5.75,1.5,1.5,2.0,1.0,1.0,2.0
6,A2,96.1,1,8.05,4371.574666666666,339.05,25220.86,22.07,119.235,7333.264999999999,6007.018,286.96,38928.92,1.55,170.26999999999998,9191.59,3785.1559999999995,142.15,25220.86,22.07,80.31,4687.61,4.333333333333333,5.0,8.0,2.0,3.0,5.0,1.2666666666666666,1.0,2.0,1.0,1.0,1.5
7,B2,35.7,6,15.85,6709.317333333333,533.99,32236.5,1.77,40.3725,12087.62,8046.839666666667,351.28499999999997,38928.92,1.82,74.56,13550.68,5647.1973333333335,235.71999999999997,25220.86,0.98,16.505,11245.810000000001,5.466666666666667,4.5,16.0,2.0,2.25,7.75,1.9666666666666666,1.0,6.0,1.0,1.0,2.0
8,A2,92.8,1,3.69,7196.017272727273,467.82,25220.86,5.0,125.34,12921.58,10420.899090909092,416.22,38928.92,2.91,141.995,18760.0,7146.9063636363635,207.63,25220.86,4.6,57.345,12921.58,3.6363636363636362,2.0,8.0,1.0,2.0,5.5,1.3636363636363635,1.0,3.0,1.0,1.0,1.5
9,B1,81.38,1,10.37,3756.382666666667,3704.89,12087.62,60.21,638.8050000000001,4772.12,3524.8159999999993,2535.14,13550.68,112.5,597.705,3934.125,3032.6560000000004,1589.92,12087.62,1.72,318.44500000000005,4715.355,4.866666666666666,4.0,8.0,2.0,4.0,6.0,1.5333333333333334,1.0,3.0,1.0,1.0,2.0
10,A1,92.54,0,4.35,3837.585,1062.505,12909.08,316.25,506.99,4393.1,5524.12,582.6,20879.73,51.55,294.5425,5812.1775,3546.8824999999997,574.405,12909.08,129.64,459.82,3661.4674999999997,4.75,5.0,7.0,2.0,4.25,5.5,1.5,1.5,2.0,1.0,1.0,2.0
11,B2,78.33,3,11.42,5437.795294117647,478.75,25220.86,0.17,45.77,8720.38,8092.6752941176455,685.81,38928.92,0.07,14.53,10624.93,5061.785294117646,478.75,25220.86,0.01,17.58,6055.71,4.764705882352941,3.0,11.0,1.0,2.0,6.0,1.5294117647058822,1.0,4.0,1.0,1.0,2.0
12,B1,105.49,0,5.03,5349.213846153846,3704.89,13652.76,5.38,54.68,12087.62,6233.556923076923,3315.95,18310.95,2.97,39.53,13550.68,5246.633846153845,3330.88,13652.76,4.95,49.43,12087.62,3.230769230769231,3.0,7.0,1.0,2.0,4.0,1.2307692307692308,1.0,2.0,1.0,1.0,1.0
13,A1,115.89,0,4.44,7496.469999999999,4658.59,25220.86,50.38,295.14,13652.76,11089.565555555555,8296.08,38928.92,2.91,352.97,18310.95,7451.476666666666,4658.59,25220.86,50.38,277.98,13652.76,3.111111111111111,3.0,5.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0
14,B2,66.66,3,13.04,3548.056875,835.65,25220.86,1.9,50.2825,3523.1025,4915.093125,1339.02,38928.92,6.22,123.78,4521.8275,3368.1487500000003,745.245,25220.86,0.79,23.835,2403.9975,5.0,4.5,12.0,2.0,3.0,6.25,1.5625,1.0,4.0,1.0,1.0,2.0
15,C2,53.72,6,13.12,5664.998333333333,818.815,25983.2,1.75,66.10249999999999,4991.8425,4867.559722222223,870.9449999999999,38928.92,2.97,93.9,4314.17,5579.013888888888,647.825,25983.2,0.4,18.552500000000002,4991.8425,4.416666666666667,3.0,12.0,1.0,2.0,7.0,1.5277777777777777,1.0,4.0,1.0,1.0,2.0
16,B2,73.0,4,12.87,6392.491250000001,949.255,32236.5,1.98,67.9025,9587.884999999998,5868.191875,1052.195,23633.92,2.97,31.822499999999998,11812.6525,5450.865624999999,307.385,25983.2,0.94,55.2425,9587.884999999998,4.625,3.0,12.0,1.0,2.0,7.25,1.5625,1.0,4.0,1.0,1.0,2.0
17,A1,110.82,0,3.76,6791.153571428573,3666.7349999999997,25983.2,3.49,699.865,7478.1,4779.986428571428,2317.065,18310.95,0.95,619.395,8174.8825,5972.297142857142,983.525,25983.2,3.49,561.62,5499.62,3.642857142857143,3.5,8.0,2.0,2.0,4.75,1.0714285714285714,1.0,2.0,1.0,1.0,1.0
18,B2,58.54,4,11.49,5788.7186956521755,757.68,25220.86,7.37,59.265,10510.64,7501.235652173912,1667.16,38928.92,0.61,77.70500000000001,9896.15,5203.56304347826,757.68,25220.86,3.27,31.325,7642.285,4.304347826086956,3.0,12.0,1.0,2.0,6.5,1.4782608695652173,1.0,4.0,1.0,1.0,2.0
19,A2,103.2,0,2.1,11714.181111111111,12190.4,25983.2,605.75,1773.62,18188.15,9394.377777777778,8795.14,23633.92,575.34,1244.66,13841.89,9809.615555555556,12190.4,25983.2,338.27,1321.79,14946.48,3.3333333333333335,3.0,6.0,1.0,2.0,5.0,1.1111111111111112,1.0,2.0,1.0,1.0,1.0
20,B2,65.39,2,14.47,5465.347777777777,38.88,32236.5,3.11,24.59,4520.53,4628.879999999999,96.01,19209.05,1.55,6.76,6991.49,4035.133333333333,22.07,19417.69,3.02,15.26,4520.53,5.444444444444445,5.0,12.0,1.0,3.0,6.0,1.8888888888888888,2.0,4.0,1.0,1.0,2.0
21,C2,59.81,4,10.34,5169.005862068965,1003.44,25220.86,0.05,71.78,12909.08,7053.308620689653,2224.12,38928.92,1.96,92.57,8795.14,5157.3099999999995,1003.44,25220.86,0.0,2.78,12909.08,4.310344827586207,4.0,12.0,1.0,2.0,6.0,1.4482758620689655,1.0,4.0,1.0,1.0,2.0
22,C2,55.49,4,15.61,5598.297083333334,1212.635,32236.5,1.07,41.89,12535.9,5318.285833333332,900.7449999999999,23633.92,3.92,69.1575,8020.07,3217.34625,845.665,14946.48,1.02,33.575,3551.605,5.166666666666667,5.0,14.0,1.0,2.0,7.25,1.75,1.0,5.0,1.0,1.0,2.0
23,B1,99.14,1,3.58,9230.163333333332,2480.22,25983.2,3.49,63.355000000000004,19213.07,6941.714166666666,2052.975,38928.92,0.95,51.54,9312.0475,7341.2525,763.9649999999999,25983.2,3.49,55.97,14564.810000000001,3.4166666666666665,2.5,9.0,1.0,2.0,4.25,1.3333333333333333,1.0,4.0,1.0,1.0,1.0
24,A2,105.23,0,7.18,5849.09142857143,5524.47,13589.7,8.21,2406.68,8503.95,2702.2985714285714,2659.8,6501.82,4.73,1463.315,3411.555,3977.1614285714286,1209.64,13589.7,8.21,384.02000000000004,6132.27,3.7142857142857144,4.0,8.0,1.0,2.5,4.0,1.1428571428571428,1.0,2.0,1.0,1.0,1.0
25,C2,72.24,2,12.25,3095.013043478261,1106.8,25220.86,0.24,169.365,4436.1849999999995,3709.576956521739,915.27,38928.92,0.41,328.21000000000004,3137.265,2723.0108695652175,243.56,25220.86,0.01,68.51,3975.765,5.0,4.0,10.0,2.0,3.0,6.5,1.4782608695652173,1.0,3.0,1.0,1.0,2.0
26,A1,91.02,2,5.78,7428.887272727272,1913.83,25983.2,1.05,109.12,12498.35,5485.738181818182,1466.42,20879.73,0.68,106.76,10862.77,7292.1054545454535,431.5,25983.2,1.02,106.12,12498.35,3.909090909090909,2.0,10.0,1.0,2.0,5.0,1.4545454545454546,1.0,4.0,1.0,1.0,1.5
27,A2,112.59,0,2.37,11377.148333333333,5230.9,32236.5,88.45,1384.49,20338.065000000002,11162.005,6300.205,38928.92,68.58,1183.4475,13497.244999999999,6050.935,2532.97,25220.86,84.73,256.755,5460.29,4.0,4.5,6.0,2.0,2.5,5.0,1.1666666666666667,1.0,2.0,1.0,1.0,1.0
28,B1,101.17,1,6.18,8947.342,4895.29,32236.5,78.26,1609.2350000000001,8587.0725,5573.744000000001,4322.469999999999,15085.47,3.92,993.7850000000001,9374.119999999999,6734.471999999999,3041.435,25983.2,78.26,764.645,7353.307500000001,3.4,3.0,6.0,1.0,2.25,4.75,1.0,1.0,1.0,1.0,1.0,1.0
29,A1,98.89,0,6.12,10311.885,8217.69,25220.86,771.24,1106.8625,17584.855,9358.131666666666,1797.335,38928.92,266.62,682.7375,10234.865,7498.535,1732.97,25220.86,758.04,993.905,11532.3575,4.0,3.5,7.0,2.0,2.0,5.75,1.1666666666666667,1.0,2.0,1.0,1.0,1.0
30,C1,53.46,5,16.6,4190.192758620689,54.68,25220.86,0.76,6.78,1554.44,5610.582413793104,43.58,38928.92,0.88,3.92,1023.38,3353.3962068965516,54.68,25220.86,0.48,5.16,395.71,4.655172413793103,4.0,10.0,1.0,2.0,7.0,1.6896551724137931,1.0,4.0,1.0,1.0,2.0
31,B2,80.36,2,14.32,3508.428125,174.695,13652.76,1.01,20.98,4290.4225,5325.605,213.415,20879.73,2.64,25.015,8606.4025,3501.766875,155.85000000000002,13652.76,0.0,3.475,4290.4225,4.875,4.5,10.0,1.0,2.0,7.25,1.5,1.0,4.0,1.0,1.0,2.0
32,B2,80.36,2,12.87,2946.805,302.455,13652.76,1.59,19.535,4592.6175,3969.0250000000005,454.09,18310.95,3.51,83.46,7942.6,2916.8849999999993,117.655,13652.76,0.12,10.6425,4592.6175,5.357142857142857,5.0,11.0,2.0,3.25,7.75,1.5714285714285714,1.0,3.0,1.0,1.0,2.0
33,C2,41.28,7,13.47,4661.401,411.405,25220.86,0.04,10.622499999999999,4380.45,5667.63725,455.24,38928.92,0.95,14.424999999999999,3902.1075,4323.0555,148.29500000000002,25220.86,0.04,6.5375,3802.9350000000004,5.05,5.0,12.0,1.0,2.75,7.0,1.675,1.0,5.0,1.0,1.0,2.0
34,C2,69.2,5,11.38,5094.766666666666,4062.45,25220.86,0.08,438.57,5689.68,6918.6954166666665,3867.84,38928.92,0.0,533.51,8732.57,5052.903749999999,4062.45,25220.86,0.08,210.60999999999999,5689.68,4.541666666666667,4.0,10.0,2.0,2.75,5.5,1.375,1.0,3.0,1.0,1.0,1.25
35,B2,58.03,5,12.95,5874.215945945946,1003.56,25220.86,0.0,18.67,8720.38,9046.649189189187,793.78,38928.92,0.2,43.58,14662.3,5843.034594594595,320.44,25220.86,0.0,9.02,8720.38,4.864864864864865,3.0,14.0,1.0,2.0,8.0,1.5675675675675675,1.0,5.0,1.0,1.0,2.0
36,B2,97.11,1,11.94,3874.516428571428,3179.04,12190.4,10.57,55.32000000000001,6055.71,5589.386428571429,2960.6099999999997,19209.05,14.53,87.4125,10151.84,3365.610714285714,1482.9799999999998,12190.4,2.13,23.285,5964.2025,4.642857142857143,3.5,13.0,1.0,3.0,6.0,1.2142857142857142,1.0,3.0,1.0,1.0,1.0
37,A1,129.34,0,-2.91,8302.7875,3112.1949999999997,25983.2,1003.56,2140.515,9274.4675,4026.8250000000003,2397.095,10862.77,450.34,707.92,5716.0,8132.0075,3112.1949999999997,25983.2,320.44,1969.7350000000001,9274.4675,3.5,3.5,5.0,2.0,2.75,4.25,1.25,1.0,2.0,1.0,1.0,1.25
38,C2,56.25,5,12.41,3692.955,615.565,14946.48,5.93,47.682500000000005,6690.030000000001,4609.346666666667,512.025,23633.92,2.97,35.64,5477.6675,3294.27,84.315,14946.48,2.0,23.990000000000002,6141.6325,4.611111111111111,4.0,12.0,1.0,2.25,6.0,1.7222222222222223,1.0,4.0,1.0,1.0,2.0
39,C2,107.52,0,5.78,6019.01909090909,4100.9,14661.76,13.84,305.77,11146.39,4211.6909090909085,2537.03,14662.3,25.81,277.84000000000003,4871.219999999999,4580.662727272727,143.72,14661.76,0.1,17.384999999999998,8720.38,4.181818181818182,3.0,8.0,2.0,3.0,6.0,1.2727272727272727,1.0,2.0,1.0,1.0,1.5
40,A1,105.23,1,2.37,7461.9766666666665,1935.8899999999999,32236.5,15.75,276.83,7176.987499999999,3921.8466666666664,1775.71,15085.47,24.19,118.7325,4421.6225,4980.494999999999,907.255,19417.69,2.94,272.1025,6667.3975,4.0,3.5,8.0,2.0,3.0,4.0,1.3333333333333333,1.0,3.0,1.0,1.0,1.0
41,A2,111.83,0,2.83,5157.666428571429,2726.675,18559.22,12.25,283.8325,10230.362500000001,6037.892142857142,2322.335,20879.73,3.92,361.96000000000004,11674.627499999999,4242.975714285715,2677.78,12909.08,11.07,236.5075,5927.83,3.0714285714285716,3.0,6.0,1.0,2.0,4.0,1.1428571428571428,1.0,2.0,1.0,1.0,1.0
42,A2,104.22,1,2.44,7998.9171428571435,2948.75,32236.5,12.51,79.25,10318.08,7262.422857142856,3171.35,23633.92,2.91,105.37,11909.02,3182.598571428571,441.79,14946.48,12.1,73.46000000000001,3365.4500000000003,3.5714285714285716,3.0,7.0,1.0,2.0,5.0,1.4285714285714286,1.0,3.0,1.0,1.0,1.5
43,C2,33.41,7,20.95,4128.546153846154,212.215,25220.86,0.13,50.5025,5522.4825,6256.733461538462,403.45,38928.92,0.0,26.49,7662.969999999999,3932.5269230769222,78.26,25220.86,0.11,13.6175,5107.41,5.5,4.0,13.0,1.0,2.0,9.0,1.6923076923076923,1.0,4.0,1.0,1.0,2.0
44,A2,82.14,2,1.57,6607.49,1351.46,18559.22,64.31,72.715,13066.005000000001,7181.891428571429,706.69,20879.73,2.91,25.505000000000003,14316.45,4670.4971428571425,78.26,13222.93,29.54,51.38,9629.994999999999,2.4285714285714284,2.0,7.0,1.0,1.0,2.5,1.2857142857142858,1.0,3.0,1.0,1.0,1.0
45,C2,50.42,6,14.34,4973.144,64.47,25220.86,0.18,17.0325,4592.6175,7326.711333333335,88.445,38928.92,0.54,11.32,7942.6,4969.211333333334,63.31,25220.86,0.0,6.8875,4592.6175,4.866666666666666,4.0,13.0,1.0,2.0,7.75,1.6333333333333333,1.0,4.0,1.0,1.0,2.0
46,A1,131.37,0,-7.41,2110.995,2110.995,4213.78,8.21,1059.6025,3162.3875,1269.935,1269.935,2535.14,4.73,637.3325,1902.5375,2110.995,2110.995,4213.78,8.21,1059.6025,3162.3875,2.5,2.5,4.0,1.0,1.75,3.25,1.0,1.0,1.0,1.0,1.0,1.0
47,B2,81.38,2,9.97,5465.081538461537,478.75,25220.86,1.18,28.36,6055.71,6754.896923076924,718.18,38928.92,1.22,3.92,10624.93,3651.0776923076924,478.75,25220.86,0.83,5.77,5689.68,4.538461538461538,3.0,11.0,1.0,2.0,7.0,1.4615384615384615,1.0,3.0,1.0,1.0,2.0
48,C1,77.32,3,13.58,4862.959444444444,570.2,25220.86,5.87,85.19500000000001,8054.2125,5531.685555555556,1062.465,38928.92,6.76,85.6425,7153.8325,4851.943888888889,569.975,25220.86,0.0,37.605000000000004,8054.2125,4.888888888888889,4.0,13.0,2.0,3.0,6.25,1.4444444444444444,1.0,4.0,1.0,1.0,1.75
